register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon,estimated_dates,start_date,end_date
﻿99400603133,"Parada de taxis * C Espronceda, 4",,,2018-07-10T16:09:19+02:00,2024-08-02T14:29:38.457345+02:00,,,115603,C Espronceda,4,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,433973.86544172285,4583602.216755338,41.40125043375538,2.2101170444424376,,,
﻿99400603142,"Parada de taxis * C Rosselló, 271",,,2018-07-10T16:09:19+02:00,2024-08-02T14:35:06.981399+02:00,,,289105,C Rosselló,271,,07,la Dreta de l'Eixample,02,Eixample,08008,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429885.6902676703,4583097.54785515,41.396358944611606,2.161272768247066,,,
﻿99400603146,"Parada de taxis * Trav Corts, 154",,,2018-07-10T16:09:19+02:00,2024-08-02T15:30:36.478484+02:00,,,343903,Trav Corts,154,,20,la Maternitat i Sant Ramon,04,Les Corts,08028,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,427019.34647063655,4581485.589977001,41.38158569098761,2.127182702232871,,,
﻿99400603010,"Parada de taxis * Av Estadi, 75",,,2018-07-10T16:09:18+02:00,2024-08-02T14:11:37.161806+02:00,,,116402,Av Estadi,75,,11,el Poble-sec,03,Sants-Montjuïc,08038,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429738.6353505292,4579966.672380888,41.36814735198323,2.1598768652113267,,,
﻿99400603014,"Parada de taxis * C Àlaba, 75",,,2018-07-10T16:09:18+02:00,2024-08-02T14:20:07.525214+02:00,,,004908,C Àlaba,75,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,08018,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432515.96569367504,4583168.932693917,41.39722692168501,2.1927258567701737,,,
﻿99400603019,"Parada de taxis * C Tànger, 89",,,2018-07-10T16:09:18+02:00,2024-08-02T14:36:55.853590+02:00,,,330107,C Tànger,89,,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,08018,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432503.07270254934,4583749.359029878,41.40245357430746,2.1925069290993005,,,
﻿99400603021,"Parada de taxis * C Muntaner, 212",,,2018-07-10T16:09:18+02:00,2024-08-02T14:45:17.380184+02:00,,,223606,C Muntaner,212,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08036,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,428980.95012480684,4582787.663689394,41.393488540188265,2.1504874867533763,,,
﻿99400603023,"Parada de taxis * C Còrsega, 376",,,2018-07-10T16:09:18+02:00,2024-08-02T14:27:47.048048+02:00,,,090502,C Còrsega,376,,07,la Dreta de l'Eixample,02,Eixample,08037,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,430025.9898412911,4583400.662927469,41.399101216979695,2.1629158693252326,,,
﻿99400603161,"Parada de taxis * C Llull, 111",,,2018-07-10T16:09:19+02:00,2024-08-02T14:40:15.505852+02:00,,,186703,C Llull,111,,68,el Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,432869.8772535698,4583174.072714217,41.39730283960376,2.196958534886658,,,
﻿99400603164,"Parada de taxis * C Gran de Gràcia, 81",,,2018-07-10T16:09:19+02:00,2024-08-02T14:38:16.930713+02:00,,,206403,C Gran de Gràcia,81,,31,la Vila de Gràcia,06,Gràcia,08012,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429340.21147175535,4583557.451255589,41.400453379764315,2.154694602835807,,,
﻿99400603165,"Parada de taxis * C Enric Granados, 77",,,2018-07-10T16:09:19+02:00,2024-08-02T14:29:11.532424+02:00,,,110304,C Enric Granados,77,,08,l'Antiga Esquerra de l'Eixample,02,Eixample,08008,BARCELONA,True,,,,,,,,,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,0065103010002004,429532.5018096326,4582572.843900612,41.39160225077044,2.1571093200501044,,,
